"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NCAPG",-1.71579035685024,-4.85722573273506e-17,-4.03135459611678,5.54691891390077e-05,0.0100814154070446,1.63353924340664
"PTTG1",-1.71537366764988,2.25514051876985e-16,-4.03037555930361,5.57007350367368e-05,0.0100814154070446,1.62986398313143
"SYNE1",1.71405833276732,3.44863027024189e-16,4.02728509938636,5.64376620510142e-05,0.0100814154070446,1.61826839156378
"DNAH9",1.71380369577299,-3.99680288865056e-16,4.02668681416268,5.65813873790892e-05,0.0100814154070446,1.61602461706069
"POLQ",-1.71358958634459,-8.24340595784179e-16,-4.0261837509389,5.67025058930082e-05,0.0100814154070446,1.61413821566411
"CFAP53",1.71303098092389,-1.11369247157711e-16,4.02487127326868,5.70196578659388e-05,0.0100814154070446,1.60921775755082
"DDX39A",-1.71300077836565,1.02105823795995e-15,-4.02480031050713,5.70368533607608e-05,0.0100814154070446,1.60895176498973
"HGH1",-1.71202754671961,-3.95516952522712e-16,-4.02251364310997,5.75935886257247e-05,0.0100814154070446,1.60038306838745
"CXorf57",1.71169979305887,1.62370117351429e-16,4.02174356579759,5.77822351938448e-05,0.0100814154070446,1.59749849828414
"ALG3",-1.71117020560544,6.18949336228525e-16,-4.02049926761983,5.80882893962168e-05,0.0100814154070446,1.59283874987745
"BUB1",-1.7104924737986,-1.62370117351429e-16,-4.01890689520468,5.84821977166304e-05,0.0100814154070446,1.58687760829149
"MYLK3",1.71003499156425,1.52655665885959e-16,4.01783201265815,5.87495222417616e-05,0.0100814154070446,1.58285505606367
"SAXO2",1.70879550013381,-2.25427315703186e-16,4.01491975157974,5.94796320271155e-05,0.0100814154070446,1.57196185616783
"DRC3",1.70797111053604,-2.47718512369488e-16,4.01298279769684,5.99699791016584e-05,0.0100814154070446,1.56472112883032
"NFKBIZ",1.70726660643384,-2.33146835171283e-16,4.011327522133,6.03920491545149e-05,0.0100814154070446,1.55853614112896
"LOC101927151",-1.70698709532145,1.97064586870965e-16,-4.01067079364452,6.0560282994662e-05,0.0100814154070446,1.55608296209912
"CPEB1",1.70663079503043,-2.37310171513627e-16,4.00983364427478,6.07753785723077e-05,0.0100814154070446,1.55295641151779
"SNRPB",-1.70532608290006,5.72025066203352e-16,-4.00676814316484,6.15692128993627e-05,0.0100814154070446,1.54151307657082
"PDE8B",1.70496932621739,-6.93889390390723e-17,4.00592992147496,6.17879798434181e-05,0.0100814154070446,1.53838556810888
