GSM1701025	GSM1701026	GSM1701027	GSM1701028	GSM1701029	GSM1701030	GSM1701031	GSM1701032	GSM1701033	GSM1701034	GSM1701035	GSM1701036	GSM1701037	GSM1701038	GSM1701039	GSM1701040	GSM1701041	GSM1701042	GSM1701043	GSM1701044
ARHGAP10	0.260757922521443	-0.638640681477601	-1.49338369885882	-0.220657707017444	-0.994423311247455	-1.95685772460692	-0.447778777589088	-0.560900693923098	-0.62174340852446	-0.943397306519984	0.87248515398202	0.667169711300462	1.03928567537113	1.41098390710674	0.824759234701515	-0.661052021253523	0.406901579941876	0.424676090798642	0.851306124594523	1.78050993070004
ARHGAP11B	1.41534803792189	1.48024296080596	1.75459859023265	0.187877696000967	0.911622882567445	0.817976706666055	0.45279487262711	0.990404162493608	0.844948797986756	-0.262116776115669	-1.03805367105238	-0.785919771216426	-0.516012046031275	-1.16816376592592	-0.944416390959474	-1.12700286007471	-1.19566070994712	-0.973977162548752	-0.416334511978356	-0.42815704145237
ARHGAP32	-1.11445943035194	-0.61232562861585	-1.0517405688422	-1.11166593034574	-0.128353928166129	-0.404449196690896	-1.34483180469435	-1.09970000352794	-0.165896479651216	-0.701064941896662	0.306614038530109	1.12641491417906	0.759639676605939	-1.0517405688422	1.39134488517129	1.51646931847045	1.22732031159899	1.33666712648311	0.806215415026936	0.315542795559247
ARHGAP44	-0.285327226208986	-1.58668899751272	-0.428474310309037	-1.36036837325385	-0.742537069023212	-1.14417006139427	-1.08491717849257	-0.174213194737671	-0.996804796163749	0.158666089834374	1.15131386188247	0.238388390886446	0.770599874365351	-1.00988909155121	1.00135686153731	1.07202131282645	0.722857733388655	1.08640147577124	1.40242787052891	1.20935682762606
ARMC2	-0.606945660756769	-0.282091751595696	-0.799148162375051	-0.799148162375051	-1.10778406650653	-0.82364994486246	-1.00989900159646	-0.428092635738286	-0.679757456857826	-1.13674122293809	0.868926087401806	0.903276299217827	0.984649293321164	-0.579153670611971	1.44417977999965	1.60638202393916	1.15896926664304	1.65030324453933	0.424781344119516	-0.789055602967307
ARMC4	-0.791232002469385	-0.253057781024607	-0.959427148455424	-1.0494096317926	-0.94135765330285	-0.855138858095566	-0.808998127294108	-0.5246927284848	-0.92766332709724	-0.717342366992385	0.867596950215187	1.60645064353283	1.25006635089088	-0.556873684043778	0.84378237947895	1.34079777972493	1.6184527321284	1.31041808548757	0.0986384920197868	-0.551010104425799
ASF1B	0.131726896365005	2.26141921895489	0.113608733273655	0.174428497397636	0.893074583990401	0.954556269110921	0.430268659316277	0.581309794619869	1.18116415260095	0.959990178687171	-1.2673431876482	-0.175773890306881	-1.01161078031039	-1.32445311548925	-0.536151389144265	-1.69443616553224	0.182109859659813	-0.919265104537233	-0.0265030088312463	-0.908120202176879
ASPM	0.70937105856557	1.64196520771489	1.00085405953358	1.26139875033446	0.730459374630182	1.41778043943394	0.278627249612203	0.535863000890064	1.55561450732646	-0.625108337428399	-0.682298665303857	-0.862923961057896	-0.822344180340278	-0.733205849308907	-0.99551201537826	-0.974511498703977	-1.00864899915622	-1.07008113507694	-0.820868053090374	-0.536430953196254
ATAD2	0.599170581723282	1.62653411870582	0.948031148433613	0.693823446427119	0.879602522193132	1.30080147252941	0.353485626017466	0.53770079882929	1.78476646089286	-0.388675541685302	-0.705518081806694	-0.0530609181171589	-0.73806090804469	-1.07395892342332	-1.02085444693529	-1.35963361238725	-0.958119896887076	-1.33682581963925	-0.619382715407045	-0.469825311418914
ATP2C2	-0.804739910612018	-1.28209363873351	-0.680719286827295	-0.867928716721402	-0.0392859115773242	-0.197057436133365	-0.898217485104124	-0.979049474346356	-1.59001804058368	-1.18497789122287	0.517051379172144	0.93436547245297	0.370301954056634	0.510557435934777	1.26279860768983	1.37333256321502	1.49413555548605	1.20374675638377	1.01442483893052	-0.156626771459756
