GSM1701025	GSM1701026	GSM1701027	GSM1701028	GSM1701029	GSM1701030	GSM1701031	GSM1701032	GSM1701033	GSM1701034	GSM1701035	GSM1701036	GSM1701037	GSM1701038	GSM1701039	GSM1701040	GSM1701041	GSM1701042	GSM1701043	GSM1701044	GSM1701045	GSM1701046	GSM1701047	GSM1701048	GSM1701049	GSM1701050	GSM1701051	GSM1701052	GSM1701053
C6	3.47062	3.66444	3.13198	3.0356	3.59929	3.44309	3.36438	3.27039	3.3575	3.11787	9.31618	8.76404	9.62166	6.44363	9.63214	10.5255	10.3215	9.48136	8.42186	6.95338	3.08579	3.13198	2.9629	2.80695	2.75657	2.75788	3.02922	2.70653	3.28334
CCDC113	6.66663	9.67878	4.96642	7.18349	6.16977	6.74165	5.55698	6.80966	7.93056	5.76455	9.9193	11.3891	10.695	2.80879	10.3996	11.2151	11.2338	11.3098	9.85241	8.28175	4.82539	4.67541	3.80539	3.46997	4.5349	4.51044	3.95074	3.75329	4.12505
AREG	4.45914	8.54841	2.98203	4.16092	2.71627	3.02925	2.85341	3.63116	4.52824	4.16092	9.65985	4.11912	6.93156	8.13353	4.96145	4.22852	8.36016	6.56268	7.1802	9.78112	11.3333	11.3903	10.6557	10.8102	9.69171	9.42645	6.30706	6.68973	5.32645
ID1	8.7116	4.34381	4.13097	3.96464	2.9199	2.84231	6.15263	3.44239	2.77415	3.18869	5.05248	3.78027	3.7041	3.30241	3.43419	3.111	3.60177	3.48923	3.91884	3.15825	10.7339	10.7099	11.387	11.3552	9.79772	10.0595	7.6691	8.68477	5.81622
TNC	4.34163	8.81074	6.50177	6.69652	3.86366	4.56097	2.99506	2.8131	3.26086	3.23356	2.86297	3.76686	3.56703	2.9424	3.47044	2.49366	2.57312	2.35725	2.05124	6.01015	7.08459	7.27238	10.0583	10.5629	8.54286	8.24347	9.12161	9.28853	9.42927
FOLR1	9.35946	10.2056	9.57886	5.15362	10.4545	5.62488	9.74428	5.16222	3.47437	10.2271	7.682	9.06564	9.16201	5.40469	8.61361	8.06438	7.6818	7.22657	6.60118	7.30294	3.79322	3.86677	2.66664	3.24024	3.34567	3.23417	3.85833	3.95206	3.18112
SUMO3	6.79164	7.70553	4.94215	6.38254	5.26168	5.75434	5.34242	5.23031	6.41515	5.17134	5.4195	6.21488	5.9083	4.99346	5.48551	5.41247	5.8706	5.24864	5.45561	5.36344	10.7667	10.7618	10.7543	10.8889	10.5261	10.5319	10.6327	10.6555	10.8815
SUMO2	6.79164	7.70553	4.94215	6.38254	5.26168	5.75434	5.34242	5.23031	6.41515	5.17134	5.4195	6.21488	5.9083	4.99346	5.48551	5.41247	5.8706	5.24864	5.45561	5.36344	10.7667	10.7618	10.7543	10.8889	10.5261	10.5319	10.6327	10.6555	10.8815
LOC101929087	6.79164	7.70553	4.94215	6.38254	5.26168	5.75434	5.34242	5.23031	6.41515	5.17134	5.4195	6.21488	5.9083	4.99346	5.48551	5.41247	5.8706	5.24864	5.45561	5.36344	10.7667	10.7618	10.7543	10.8889	10.5261	10.5319	10.6327	10.6555	10.8815
TTC25	6.62363	7.21727	4.98423	5.06871	5.33247	5.1742	5.88305	5.29006	4.66981	5.09237	9.81949	9.28152	9.87263	7.55948	10.6684	10.9685	10.1465	11.0069	9.91428	7.39815	2.46365	2.71188	3.71638	3.54386	4.12231	4.16015	3.32797	3.85287	3.76834
