GSM1701025	GSM1701026	GSM1701027	GSM1701028	GSM1701029	GSM1701030	GSM1701031	GSM1701032	GSM1701033	GSM1701034	GSM1701035	GSM1701036	GSM1701037	GSM1701038	GSM1701039	GSM1701040	GSM1701041	GSM1701042	GSM1701043	GSM1701044	GSM1701045	GSM1701046	GSM1701047	GSM1701048	GSM1701049	GSM1701050	GSM1701051	GSM1701052	GSM1701053
HPS6	6.35494	6.29743	6.48532	6.20317	6.63994	5.72125	6.37698	6.20401	5.94715	7.02152	5.88603	5.87635	6.2834	6.06549	6.11806	6.20875	5.92472	5.40979	6.22089	5.55975	6.68378	6.89961	6.49834	6.23497	5.77532	5.93859	6.56518	6.10448	6.67479
HHLA3	2.91303	2.90004	1.80126	1.7806	2.06479	2.11962	2.70137	1.88741	1.86178	2.11962	1.91996	2.42434	2.38041	2.05212	2.62674	2.16741	1.96319	2.97817	2.74449	2.09503	1.87766	2.07618	2.58318	2.00922	1.85844	2.38027	1.70482	1.63011	1.69497
AGTR2	2.72031	2.7548	2.59225	2.90726	5.10897	2.73344	3.0259	3.06122	3.19625	3.1379	3.18827	4.51302	3.08333	4.87653	3.06359	3.0079	2.93675	3.22663	3.44625	2.74802	2.56206	2.5914	2.20604	2.27467	2.25267	2.46288	2.62897	2.32084	2.54113
C18orf54	1.5247	1.67091	1.76152	1.8984	1.72732	1.72267	2.18987	1.92749	2.24354	1.93465	1.83123	1.94432	1.85749	2.37765	1.67074	1.7803	1.95565	1.89364	1.85219	1.99594	2.29099	2.31748	3.567	3.4735	3.60678	3.81959	3.35971	3.08788	3.78132
KSR1	4.12115	3.89326	4.56876	4.85292	4.18946	4.45538	4.31277	4.10411	3.76398	4.75773	4.35349	4.10896	3.83125	5.11121	4.16498	4.37765	4.33759	4.10896	4.25135	4.43628	4.09349	4.42935	3.20637	3.54868	3.57597	3.44209	3.84314	3.5248	3.71936
FGFR4	5.16033	3.8465	3.98101	3.83505	4.55563	3.98028	3.74258	4.21223	3.64039	4.17013	3.71857	3.39957	3.79384	3.24958	3.64122	3.62646	3.61473	3.82845	4.21873	3.71091	3.10504	3.23399	2.57924	2.913	3.28236	3.21159	3.94597	3.78501	3.42562
SUV39H1	7.17287	6.34067	5.9663	6.63186	6.52057	6.12164	7.23549	5.93351	5.95096	6.24821	4.67988	5.4651	5.51206	6.15164	5.65186	5.8833	5.79185	5.59003	5.56653	6.19598	5.87503	5.79433	6.19031	6.12164	6.17434	6.32371	6.49534	6.63628	6.95037
NR5A2	2.13301	2.84059	2.30417	2.87697	2.61454	2.54964	3.21572	2.93197	2.72445	2.84793	2.04041	2.86545	3.94111	2.4998	2.4919	3.29993	2.13252	2.67256	2.70483	2.79463	3.64575	3.74365	2.097	2.66497	2.34898	2.2436	2.68075	2.20489	2.31922
PLCXD2	4.34461	3.50883	3.92629	3.98656	3.5374	3.54817	4.74637	3.88917	3.69127	4.44634	4.4496	3.84626	4.22749	5.82343	3.88917	4.1734	4.09405	3.74619	3.6948	3.87564	3.64796	3.84882	3.37483	3.5185	3.32212	3.34844	3.73359	3.4018	3.88917
ZFC3H1	2.35724	2.01335	2.42597	2.20384	2.68502	1.9108	2.08956	3.27221	2.55536	1.75894	3.92617	2.25949	1.74021	2.31472	2.76689	1.93604	3.70685	1.81011	4.37608	4.61417	2.15498	2.00964	2.34138	2.28597	2.33376	2.39385	2.18641	1.91275	1.96587
OR2H1	3.12344	3.28317	3.84988	3.51689	3.25919	3.17196	3.71356	3.49396	3.37439	3.87647	3.87901	3.31716	3.23267	5.02596	2.78279	3.3329	3.18803	3.43543	3.8874	3.44874	3.23153	2.94825	2.90587	2.55718	2.71188	2.84477	2.80394	2.73092	2.94825
STUM	4.46981	3.69542	3.86888	3.86888	3.72786	4.4611	4.8749	4.26783	4.10501	4.26577	4.45777	3.89459	4.19102	5.9798	3.80697	3.50732	3.50717	3.96523	4.13688	4.04433	3.70814	3.85484	3.19523	3.11279	3.08149	3.64534	3.71867	3.51369	3.53229
FBXW9	4.66587	7.20696	4.8741	5.09033	5.23143	5.20956	5.69325	4.74807	5.03773	5.3313	5.18168	5.31623	5.54639	5.7167	5.5219	6.20687	6.1521	5.57308	4.95147	5.01955	5.23413	5.1961	4.55111	4.42635	5.15415	5.43225	5.58338	5.96244	6.11625
FCER2	2.8972	3.28397	3.50825	3.50067	3.56884	4.07729	3.80877	3.31762	3.11149	3.78922	2.77627	3.05485	3.0314	5.37333	3.29324	3.19445	3.04291	2.77727	2.93197	3.52931	3.39066	3.60214	2.93096	2.91827	3.08095	2.93096	2.96277	3.05485	2.99286
KIR3DX1	3.45509	3.42524	3.68759	4.1639	3.80902	4.02438	3.8032	3.84334	3.27865	3.9298	4.40831	3.58376	3.25755	4.36043	3.66576	3.83762	3.42128	3.56472	3.96242	4.00905	3.68807	3.61628	3.12156	3.03258	3.29787	3.02003	3.10825	3.16393	3.44132
PAX6	5.42418	4.7326	3.77501	3.92253	4.04623	3.48485	5.44536	4.14328	6.09768	4.35219	4.27426	3.89656	3.8854	5.13771	4.04134	3.85916	3.87777	3.70466	4.04134	3.80673	4.54665	4.37475	3.18351	3.79676	2.99314	3.00214	3.91314	3.83415	4.06379
SPAM1	2.72881	2.98406	3.47576	2.93506	2.74603	3.2299	3.32398	3.06307	3.06688	3.25919	3.45624	2.93197	2.81387	3.9604	3.18693	2.92469	2.92087	3.20344	3.07731	3.05272	2.64856	2.53945	2.51591	2.64148	1.83283	2.35097	2.3239	1.8473	2.44677
LINC01056	4.43206	4.08455	4.21254	4.31585	4.49652	4.83565	4.92666	4.69467	4.25308	4.98756	4.84928	4.32788	4.37646	5.48319	4.55071	4.65312	4.08211	4.31585	4.62753	4.12809	4.21896	4.21896	3.87736	3.96419	3.82807	3.75012	3.92363	3.91414	3.97871
MYOD1	5.19457	3.86755	4.82512	4.41404	4.4759	4.08233	4.87224	4.31301	3.95747	5.13361	4.80326	4.12483	4.14861	5.86809	4.3003	4.33684	4.6192	4.27983	5.08715	4.07382	4.21735	3.80626	3.87077	3.70922	3.72064	4.26673	4.56216	4.02686	4.34073
SSTR3	4.86203	4.65845	5.2725	5.08749	5.06545	5.14678	5.78978	5.47641	5.34854	5.25765	5.33528	4.84096	4.84169	6.40361	5.47	5.33754	4.94414	5.06404	5.63791	5.33088	4.89394	4.79019	4.2706	4.61575	4.70637	4.86874	4.77573	4.56508	4.68768
LOC100130987	5.22651	5.24427	5.32143	5.09033	5.8278	5.55197	5.55197	5.24571	5.39051	5.7906	4.88054	5.01837	5.33143	5.53016	4.87886	5.46551	5.55509	5.54094	5.3798	5.29818	6.98823	6.95235	6.07374	6.12617	5.6226	5.84322	6.61487	6.61487	6.62341
MAN2C1	6.34455	6.7047	5.17002	4.87605	5.06668	4.63552	5.21331	5.01452	4.37246	6.74721	6.07603	4.86707	5.14418	5.07731	4.7883	5.42649	4.62249	5.48049	5.24154	6.07477	5.43585	5.2213	5.17002	4.93167	4.88148	5.23593	4.92922	5.27626	4.78306
SLC46A2	2.54928	2.95956	3.08366	3.18086	2.98272	3.95478	3.01246	3.14992	3.08974	2.96983	3.11156	3.26973	2.60499	4.1807	2.76258	2.53181	2.76636	3.18573	3.20029	3.28129	2.29089	2.65224	2.20604	2.64341	2.52822	2.48003	2.62377	2.50396	2.67382
SLC8A2	3.31643	3.80748	3.59108	3.31389	3.60354	3.10576	3.57195	2.93197	3.62424	3.13005	3.54493	3.12124	3.62602	3.19168	3.25022	2.6268	2.99067	2.90607	2.94792	2.7548	3.50114	3.25022	3.00012	3.23693	3.08828	3.25022	3.73354	2.92847	3.31267
MTMR12	3.13045	3.34741	3.0113	3.61169	4.06669	3.13503	3.25919	3.29385	3.30925	3.53592	3.78215	2.84877	3.31014	3.93897	3.82281	3.55611	3.10275	3.17261	2.90836	4.06877	3.12557	3.21442	2.99866	2.80375	3.55665	3.27366	2.60209	2.74268	3.00124
NIPAL2	4.64194	4.66666	5.06294	4.68158	5.00661	5.9714	5.32938	5.14999	4.67252	5.38451	4.84342	4.25965	4.57547	4.16455	4.57031	4.4618	5.26438	4.50894	4.99783	5.02887	4.81855	4.82885	4.15588	4.08065	4.13208	4.14353	4.64316	3.95502	4.59545
LOC100507634	4.71401	2.95058	3.57614	3.65533	3.25919	2.78493	3.44077	3.26139	2.70849	4.19067	3.28753	3.14572	3.0314	4.0393	2.76198	2.83853	3.50845	2.66951	3.15905	2.5473	3.13689	3.44677	3.69834	3.43091	3.21217	3.22016	3.68868	3.25635	3.83314
MMP3	2.08741	1.84577	2.23547	2.18165	2.47577	1.91251	2.61422	2.47771	2.25372	2.39631	1.97136	1.74413	1.9271	2.83279	2.5103	2.29565	1.76069	2.05604	2.15651	1.9656	1.81378	2.06983	3.75704	3.16431	3.65857	3.8283	2.91526	2.15651	1.8445
SLC8B1	5.60331	5.16869	4.55987	4.15824	4.36736	4.03476	4.77585	4.50931	4.1164	4.61209	4.27375	3.67335	4.35083	6.00589	4.17208	4.261	4.23228	4.163	4.41748	3.97161	4.58455	4.7134	4.01044	4.39382	4.01522	3.94728	3.87712	3.97786	3.79244
UBXN2B	5.35988	6.35603	6.6738	6.36746	6.51468	6.96375	6.73717	5.9853	7.41806	5.78202	5.24525	6.56328	6.85191	4.37708	6.21708	6.23227	6.87519	6.08035	5.9262	6.14061	6.1826	6.2477	6.59816	6.81348	6.68522	6.47519	6.70187	6.49251	6.60889
BCRP3	3.16305	3.34277	3.25769	2.94447	3.15418	3.12434	3.27422	3.13893	3.14112	3.05713	2.82273	2.8995	2.94558	3.75415	2.97121	2.69523	2.91802	2.83419	2.9166	2.87559	4.05841	4.2025	3.63572	3.0083	3.2608	3.48887	3.68328	3.62529	3.60116
CALCA	3.20245	2.33838	2.68992	2.51898	2.65197	2.89731	6.57378	2.87236	2.44501	2.09711	2.93238	2.66297	2.60972	3.33311	2.17855	2.47767	2.67661	2.35293	2.55544	2.24299	2.45326	2.20648	3.61731	3.54934	2.4713	3.05647	2.14903	2.78708	2.01516
ETAA1	6.69385	6.89614	6.93721	7.74887	6.44	6.49017	5.02563	7.69742	7.32989	6.30064	6.41372	6.97958	7.2647	1.90337	7.22913	7.07656	6.42878	6.98436	7.47485	6.05856	6.69522	6.72517	6.82474	6.97035	6.90322	6.87021	6.53453	6.54343	6.40934
KYAT1	5.97289	5.33624	5.95239	4.80621	5.47983	5.21807	5.84676	6.06714	5.61404	5.24318	5.01127	5.62766	5.63581	5.88057	5.63599	5.06024	4.75263	5.64958	5.3758	5.50131	5.97745	5.88039	5.40089	4.92899	5.87105	5.84676	6.18993	6.1314	6.58356
GAS2	2.08956	2.78307	2.52292	2.13323	2.37511	2.3915	2.45312	1.90963	2.51476	2.22617	2.68755	3.35192	3.25919	2.28515	2.91706	2.47808	3.6863	3.02054	2.65702	3.06721	2.05908	2.08708	2.91942	2.65702	2.38084	2.60026	2.70169	3.30587	4.1639
TRIM17	2.85479	4.42638	4.27915	3.02044	2.99829	3.05818	3.81998	3.55253	3.42239	3.79251	3.54258	2.7578	2.55963	3.82112	3.21217	3.38535	3.07988	3.10147	2.53786	3.64517	3.07427	3.21217	2.68817	2.54791	3.02684	2.85479	3.16561	3.03724	3.31737
PLD5	1.94193	2.42142	1.9735	1.7806	2.62772	2.33232	1.7881	2.08041	1.89834	1.9897	2.03975	1.83064	1.66972	2.58963	2.36212	2.02509	2.00371	1.91921	2.12912	1.76849	3.4912	2.97096	2.92766	2.32071	1.6758	1.63226	1.65361	2.263	1.77517
CYP2D7	5.10966	5.61665	4.84418	4.4399	4.64158	5.00586	5.22203	4.26006	4.56415	4.53651	4.0974	3.95884	4.60108	4.79669	4.81794	4.47987	4.53651	4.55563	4.23425	4.51748	4.23668	4.59503	3.83171	4.09619	3.98842	3.54488	4.03389	3.4034	4.50912
CYP2D6	5.10966	5.61665	4.84418	4.4399	4.64158	5.00586	5.22203	4.26006	4.56415	4.53651	4.0974	3.95884	4.60108	4.79669	4.81794	4.47987	4.53651	4.55563	4.23425	4.51748	4.23668	4.59503	3.83171	4.09619	3.98842	3.54488	4.03389	3.4034	4.50912
LOC101929829	5.10966	5.61665	4.84418	4.4399	4.64158	5.00586	5.22203	4.26006	4.56415	4.53651	4.0974	3.95884	4.60108	4.79669	4.81794	4.47987	4.53651	4.55563	4.23425	4.51748	4.23668	4.59503	3.83171	4.09619	3.98842	3.54488	4.03389	3.4034	4.50912
SNCG	3.15624	2.98406	3.84129	3.00568	4.24442	3.00675	3.5778	3.60428	3.10354	3.12216	3.27238	2.82031	2.93649	3.74893	3.24536	2.89575	3.06032	3.19055	3.68161	2.70516	3.30241	3.63696	3.60854	3.74362	3.5418	3.25039	3.55972	3.23661	3.31738
PCSK7	7.73253	6.49848	5.33828	6.01943	6.35085	5.99835	6.80534	5.42981	6.1941	6.47491	6.03075	5.31692	5.80699	6.41189	5.75129	6.27111	5.6869	5.68035	5.7375	6.19465	6.40719	6.41675	6.21212	6.25039	5.862	6.18378	6.14345	6.09154	6.29801
CCR7	2.39185	2.92864	2.36127	2.78733	2.17263	2.38213	2.53919	2.65946	2.24354	2.5792	2.18358	2.81392	2.88607	2.88572	2.87344	2.67788	2.41737	3.01217	2.36975	5.13557	2.51498	2.30419	2.00038	2.05629	2.1528	2.2021	2.27092	2.19344	2.35315
C20orf202	2.95059	3.01826	3.63892	3.39953	3.75294	3.18002	3.71131	3.21049	3.29262	4.21803	3.81175	2.88451	3.41401	3.39953	3.58237	3.4683	3.59229	3.72845	3.34517	3.30241	3.21217	3.37769	3.03866	2.77045	3.06726	2.98385	2.98347	2.69719	3.20047
LOC440792	4.73452	4.03862	4.4616	4.90046	5.60409	4.91071	5.0381	5.03863	4.57012	5.11402	4.77597	3.96445	3.99929	5.19974	4.15615	3.95967	4.25084	4.67441	4.55139	4.23232	4.72818	4.77126	4.20571	4.35128	4.3013	4.37475	4.53899	4.1986	4.70101
PPP1R1C	2.42448	2.25485	2.66107	3.09576	3.22273	2.90945	3.11281	3.42611	2.97971	3.50724	2.67144	2.63522	3.25919	4.13694	2.6762	2.51702	2.86284	2.64463	2.47459	2.48871	2.3054	2.54725	2.08001	2.32023	2.30057	2.43626	2.66107	2.41159	2.52679
RHOH	5.22857	4.34812	4.16265	4.57372	3.98793	6.00086	4.3184	4.16667	4.16667	4.06318	4.17269	4.45126	4.43352	4.60704	4.37885	4.40882	4.47367	3.90165	4.33076	5.36835	4.36821	4.48424	3.52345	3.56685	3.51514	3.79544	3.9079	3.63374	3.86789
OBSCN	3.58339	2.5103	3.64568	2.78186	2.97471	2.57886	4.10671	3.14015	3.80153	4.10641	2.98525	2.77418	2.521	2.84526	2.8748	3.05889	3.38599	3.29194	3.33185	2.77418	2.63359	2.80285	2.49568	2.67296	2.82031	2.79918	2.85195	2.74866	2.55103
RAD54L2	6.9847	6.31038	6.10843	6.06552	6.17171	5.15994	6.23411	6.40681	6.49535	6.82158	6.35907	5.64171	5.87242	8.34307	5.53513	6.11277	5.95212	6.32203	6.09427	5.88866	6.15097	5.71065	6.42177	6.3443	6.60117	6.54145	5.91441	6.51313	6.60344
ZNF675	2.25729	2.14585	2.47166	1.64292	1.96092	2.22173	3.114	2.48712	2.73658	2.72433	2.77193	1.89223	2.285	1.90514	2.59307	1.8779	2.17603	2.39836	2.31398	1.91676	2.19692	2.5041	2.99257	2.5103	2.23488	2.19692	1.97652	1.78061	1.79793
DTX2	4.4511	3.99908	3.71519	4.31304	3.90808	3.28437	3.95972	3.92961	3.86898	4.22294	4.25253	3.62107	3.88896	4.29283	3.95203	4.35956	3.82576	4.22294	4.00101	3.75262	5.25097	5.25097	4.9019	4.65069	4.73023	4.75509	4.25157	4.10317	4.55463
PKP3	6.16034	6.62992	5.11366	5.63916	5.92899	5.38597	6.56268	6.03149	5.14719	5.82525	4.85011	5.46311	5.65981	5.82427	6.10423	5.49071	5.2959	5.70856	5.73402	5.72086	7.7558	7.60606	5.55197	5.31089	5.3252	5.81905	5.90205	5.23097	5.49842
C14orf93	5.11094	4.84878	5.04482	4.67289	5.34609	4.56349	4.98775	4.42457	4.60738	4.79934	4.26847	4.36382	4.72968	3.86534	4.96145	4.64018	4.49654	5.01743	4.73865	4.68211	4.25653	3.98149	4.06702	4.01275	4.05687	3.85033	4.44423	4.17405	4.46391
SIRT2	2.79702	3.17348	3.24354	3.38856	3.534	3.14474	3.86986	3.78823	2.97574	3.62403	3.68198	3.35738	3.13923	2.98739	3.82509	3.88067	3.29655	3.34919	3.59411	3.35682	3.64254	4.11996	3.92186	3.94454	2.81543	3.07884	3.0314	3.2891	2.9413
CHID1	7.16058	6.45837	6.60058	5.50748	6.47537	5.3435	5.90996	5.87711	6.47313	6.28075	6.62574	6.99941	6.80007	5.01832	6.60078	6.28434	6.29886	6.37226	5.58101	6.1743	6.55456	6.54946	6.01191	6.01046	6.3635	6.29938	6.37226	6.57682	6.32191
MTCH1	11.8989	10.8504	10.8883	10.5857	10.9505	9.1553	11.3465	10.4473	10.7164	10.918	10.2543	10.5791	10.7288	10.2177	10.5286	10.7441	10.5477	10.1501	10.5345	10.7936	10.5146	10.2015	10.7297	10.742	9.82846	9.86721	10.0882	10.0558	9.9512
TSEN34	7.80475	8.69309	8.00411	8.70462	8.96863	7.51751	7.27108	7.48119	7.8933	7.63859	7.22814	7.89517	8.19156	6.29739	6.9703	7.93835	7.46952	7.24124	7.41242	7.85248	8.04375	8.23539	8.08039	8.01121	8.01661	7.74805	8.02379	7.98599	7.80336
LOC101928896	3.37763	3.11496	3.31859	3.02044	3.49949	3.72261	3.81987	3.40859	3.72058	4.05172	3.71413	2.9132	4.36965	5.57849	2.9811	3.02393	3.45589	3.55822	3.66893	3.34174	3.50418	3.4627	3.05901	3.37323	3.12639	3.21217	3.13187	3.04026	3.18128
LOC401176	1.90251	2.09771	2.41233	2.48648	2.38254	2.23096	2.14641	2.42379	2.65702	2.59418	3.03215	2.06677	2.33464	7.3036	2.62475	2.18383	2.14306	1.758	2.89672	2.84718	1.90777	1.8928	1.97334	1.6546	1.9599	1.76916	1.94395	2.01574	1.86215
LCN1	3.8051	3.35839	3.26976	3.84056	4.27554	3.54945	3.37794	3.68648	2.86792	3.37794	3.26364	2.76128	2.8319	4.76731	2.89835	3.77755	3.4279	3.24769	3.44625	3.37794	3.89283	3.81759	3.12263	3.07295	3.29128	3.07964	3.40106	4.86863	3.79006
KIF16B	4.06588	4.46555	4.5658	4.77033	4.54055	5.34912	4.74299	4.68222	5.61822	4.87519	4.73371	4.84166	4.6017	4.137	4.84378	5.35941	5.08971	4.72693	4.68545	5.19375	5.44936	5.22459	4.81877	4.98547	5.91964	5.47269	5.24229	4.95078	4.62948
MAP3K14	4.10891	3.21425	3.34476	3.57712	4.33134	4.2611	4.035	4.62537	3.4246	4.25153	5.28717	4.10891	3.98754	5.66206	3.32659	4.42602	3.55326	3.91776	4.71147	4.53651	3.72679	4.22738	3.9978	4.16589	4.38475	4.39865	3.84239	4.22901	4.03334
PLCH1-AS1	2.69204	2.19811	2.76212	3.1368	2.80738	3.23037	2.82231	2.93197	3.30369	2.65987	3.0264	3.19232	2.521	4.46673	2.76212	2.64311	3.41667	2.60001	3.1403	3.22911	2.76212	2.9553	2.27424	2.59482	2.09288	2.19811	2.70235	2.57564	2.32405
UBASH3A	3.22735	2.11553	2.58889	2.29237	2.78548	2.12798	2.2084	2.67631	2.63286	3.00743	2.94637	2.83665	2.76385	3.85916	2.47472	2.76397	2.35559	2.60014	3.31786	3.17953	2.48144	2.30289	1.97365	2.42633	2.2283	2.16644	2.24354	1.96174	2.48144
EIF2AK2	9.12209	8.50832	8.10751	8.24688	8.37337	8.1969	8.32447	7.42441	8.4651	7.59685	6.86712	8.39251	8.09799	2.4786	8.469	8.07141	8.11502	7.53122	7.22991	8.07343	8.0401	8.01127	10.0587	10.0767	7.83143	7.82541	8.16255	8.3307	8.1511
RDH5	5.67757	4.36044	5.14439	5.72072	6.42448	5.60039	5.77298	6.04413	5.16498	5.05156	5.08985	5.0305	5.18007	5.0058	5.24802	5.47704	4.90947	5.30843	5.33852	5.33276	4.37453	4.7397	4.8386	4.70866	4.63015	4.57505	4.95722	5.2758	5.45139
SCT	3.00481	1.75191	2.53026	1.81674	2.13508	2.38213	2.07026	1.79474	1.88574	2.69765	2.44983	2.16473	2.05049	3.0153	1.85871	2.00347	2.15069	2.0562	1.98002	2.37856	2.3882	2.56012	2.06984	2.76532	2.48314	2.92492	3.06727	3.01003	2.59241
BLOC1S1-RDH5	5.67757	4.36044	5.14439	5.72072	6.42448	5.60039	5.77298	6.04413	5.16498	5.05156	5.08985	5.0305	5.18007	5.0058	5.24802	5.47704	4.90947	5.30843	5.33852	5.33276	4.37453	4.7397	4.8386	4.70866	4.63015	4.57505	4.95722	5.2758	5.45139
UBL5	8.51314	10.0976	9.99396	10.1459	9.85468	8.77814	10.092	8.72889	8.91177	9.37591	8.75937	9.43493	9.46325	6.76343	9.20129	9.58117	9.47563	8.94081	8.76086	9.00369	9.48533	9.42043	9.32449	9.41089	9.06968	9.14243	9.0075	9.03637	8.93383
ERN2	5.28022	5.11582	5.45951	5.3009	5.7385	5.64495	5.98724	5.70523	5.41009	6.17888	6.33501	5.47073	5.69249	7.13177	5.95882	5.83022	5.54635	5.55487	5.98582	5.61298	5.53457	5.82308	5.02036	5.21431	5.18693	4.9066	5.28137	5.07212	5.51214
USP3	6.93699	7.71151	8.52828	8.25785	7.87282	7.35501	7.1392	8.27544	7.22153	8.02297	7.91986	7.71616	7.94699	2.86236	7.77105	8.22889	8.33126	7.59727	7.93944	7.80255	8.20406	8.20494	7.8708	7.72744	8.64952	8.71696	8.55091	8.28112	8.18543
LOC101929762	2.29662	2.27739	2.91752	2.27667	2.41214	3.04681	3.02028	1.97434	2.37245	2.66107	2.521	2.5866	2.07413	2.14119	3.25022	2.26896	2.31822	2.64231	1.98537	2.72114	1.91799	2.08345	2.12052	1.97299	2.1852	1.80432	1.9109	2.04503	2.02961
CTDP1	5.62771	5.33683	5.8254	5.96426	6.26087	4.93621	5.62563	5.53841	5.12189	6.11389	5.74401	5.28384	5.78828	6.61808	5.37506	6.15857	6.08001	5.49101	5.63816	5.59038	4.99563	4.81479	4.96435	4.99278	5.25881	5.32168	5.64471	5.53193	5.83899
TSKU	6.53666	5.91985	5.89651	6.49507	6.27605	6.55741	6.09245	6.00633	5.72664	5.80402	6.1688	6.13863	6.01862	6.63664	6.27866	5.85124	5.08594	5.56521	5.95351	6.52998	6.91946	7.13518	6.1688	6.18591	6.1688	6.22795	6.50828	6.30466	6.4071
KLRD1	3.13324	2.94551	3.68198	3.19961	3.17405	3.41485	3.49972	3.81888	3.21914	3.91088	3.2509	3.51528	3.39919	3.22883	3.15229	3.46233	3.97923	3.55037	3.10186	4.0027	3.15717	3.08593	2.70476	2.66637	2.7902	2.68823	2.95826	2.81505	2.7448
NOS1	4.58542	4.53386	4.6553	4.77252	4.71299	4.60332	5.05306	4.21305	4.77084	4.62237	4.74219	4.67309	4.58115	5.14115	4.83497	4.8589	4.37772	4.14505	4.55139	4.45773	4.17161	4.36638	4.17161	4.04161	4.05833	4.11244	4.11836	4.0681	4.16309
LOC100130449	3.14921	2.60011	2.29058	4.00905	3.1218	5.0184	2.54711	2.29575	1.99779	2.28902	2.26074	1.94169	1.74482	2.48293	2.5103	1.96437	2.17831	2.14744	2.42216	1.99594	2.12889	1.94186	1.98498	1.90179	1.76561	1.80834	1.84047	1.58868	1.98385
SLC25A19	6.36121	6.31256	6.42681	6.5708	6.14528	6.15204	6.08951	6.19291	5.61543	6.33616	6.16586	4.97394	5.82225	6.91473	5.79511	6.04491	5.80311	5.88439	6.08951	6.12737	5.88587	5.7547	6.15665	5.9005	7.72004	7.84827	8.18282	8.06495	8.39626
DDX41	8.28926	8.74094	7.26829	6.56892	7.10846	5.99444	7.66268	6.95987	7.92911	7.84431	6.26873	6.99313	7.14214	4.62074	6.60084	7.00124	6.5286	6.98429	6.50195	7.03295	7.03401	7.19014	6.83777	6.80831	7.34924	7.29925	7.39981	7.73756	6.92514
APEX2	6.70071	5.60277	6.74314	6.49404	6.80059	5.99806	6.0332	6.23878	5.92899	5.95033	5.28692	5.97207	5.95302	5.22973	5.44956	5.35316	6.04052	5.62556	5.62065	5.33968	5.88751	6.16641	6.07526	5.84561	6.24489	6.39994	6.04061	5.95201	6.12801
HINFP	6.68017	5.81117	6.10152	5.64339	6.30642	6.01073	6.12203	6.76401	6.61054	5.73165	5.72361	5.76739	6.16776	4.48952	6.42408	6.31256	6.17248	5.86152	6.39097	5.69745	4.97633	4.87114	6.14392	6.10115	6.06429	6.2759	6.30818	6.19238	6.72547
BAIAP2L1	7.24175	7.39128	6.11928	6.06286	6.23266	6.05757	5.12492	6.14404	6.31707	5.89299	6.04531	6.57021	7.21024	6.33183	6.13309	6.97782	6.4478	6.23728	5.71646	5.22786	6.44686	6.44582	5.30554	5.31643	5.93598	6.11928	5.97357	5.58028	5.90503
PRINS	5.34428	4.88936	5.03631	5.01353	5.56564	5.20648	5.97207	5.73683	4.83978	6.0132	5.61265	5.13877	5.16007	8.10885	5.43751	5.33754	5.4841	5.88061	5.978	5.64321	5.89975	5.4418	5.33754	5.10243	5.21973	5.02836	5.05433	5.25698	5.04739
SIGLEC6	3.29486	3.55033	3.81845	3.93226	3.83032	4.69742	4.09057	4.27492	4.33378	3.97727	3.94028	3.84534	4.37646	5.57682	4.09109	4.35658	3.98461	4.351	4.02524	3.8364	3.70614	3.84534	3.25516	3.47701	3.30644	3.09782	3.66743	3.26898	3.3496
COL8A1	1.60066	1.67149	1.46139	1.87607	1.74627	1.87592	1.92528	2.46024	1.76916	2.19789	1.84074	1.88384	1.63838	2.9506	1.54313	1.63168	1.55856	1.50807	1.95367	1.66584	2.42816	2.20659	3.58036	3.06418	1.93783	2.07262	2.46206	2.28409	1.80668
FAM53C	7.76797	7.93801	7.7722	7.49873	7.98651	6.98207	8.06664	8.51226	7.74385	7.89551	7.91253	7.35303	7.40007	5.85756	7.3364	7.22808	7.07274	7.70748	7.87713	8.25328	7.33053	7.33601	7.48396	7.27753	7.39927	7.67844	7.34397	7.80559	7.37899
C2CD6	2.12629	2.08956	2.3451	1.59853	1.90799	2.61945	3.33451	3.47649	2.08228	4.42029	2.15	1.99512	2.287	5.26963	2.42355	1.94796	1.93912	2.16368	2.4587	2.94794	1.71954	1.80771	1.84312	1.68271	1.88283	1.70928	1.71511	1.89503	2.29444
EIF2B4	8.6506	8.14109	8.19734	8.02747	8.23968	7.08288	7.94001	8.0587	7.80689	7.32777	7.47152	7.28851	7.27896	7.72331	7.24025	7.30181	7.53145	7.78693	7.26043	7.69438	8.01222	7.93737	7.63303	7.49411	7.70972	7.73859	8.1558	7.87576	7.81755
IDUA	6.75242	5.69639	4.78545	4.5524	4.87871	4.43039	4.24505	4.74712	3.08366	5.11058	4.88009	3.97277	4.34517	4.82161	3.6214	4.56707	4.7835	4.50278	4.67865	4.57368	4.80833	4.65256	4.57368	4.75432	3.61269	3.55042	4.15987	3.92033	4.38332
LINC01876	4.31923	3.56378	4.36656	3.1032	4.32475	2.99598	4.01954	4.55902	3.46806	3.62403	4.0078	3.18069	3.67379	3.28583	3.1405	3.33046	3.38974	3.36739	3.15404	3.40007	3.08366	3.0001	2.88238	2.81803	3.08363	2.8816	3.16348	3.13173	2.70341
LOC100507351	3.07226	2.85442	3.78689	3.46554	3.68149	3.08194	3.44034	3.5511	2.77294	3.13841	2.95732	2.76212	2.88034	3.51927	3.001	2.57405	2.54162	2.73217	2.86247	2.30279	2.70088	2.73918	2.25296	2.3038	2.49805	2.25309	2.65124	2.21269	2.19727
