"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CFAP47",1.34565912453091,4.77410356617784e-17,4.55504053025222,5.23830628948624e-06,0.000217512675950052,3.74141143736828
"JAM3",1.34488939781096,-3.3711459549816e-16,4.55243501423212,5.30362057276897e-06,0.000218973209103038,3.72996694057346
"GNGT1",-1.34480778261711,1.30104260698261e-17,-4.55215874774746,5.3105914799458e-06,0.000218973209103038,3.72875384864055
"CHAF1B",-1.34467585205721,6.03683769639929e-16,-4.55171216433225,5.32187847247898e-06,0.000218973209103038,3.72679304717889
"DRC3",1.34461929944872,-4.03323208164608e-16,4.55152073440838,5.32672372053898e-06,0.000218973209103038,3.72595260000549
"PCDH17",1.34451844296799,2.97938756999017e-16,4.55117933639081,5.33537526843855e-06,0.000218973209103038,3.72445382594379
"CDKN1A",1.34313519962945,-4.70905143582871e-17,4.54649707373201,5.45539698224013e-06,0.000222889929741777,3.70390953303277
"TMEM232",1.34312822344034,2.08925758637957e-16,4.54647345941279,5.45600879519415e-06,0.000222889929741777,3.70380597443676
"SLC39A4",-1.34231719710079,3.21718924648865e-16,-4.54372814465928,5.52758542150801e-06,0.000225293683228238,3.69177029534703
"CYP3A5",1.3417180567652,-1.49800600165081e-16,4.54170006157185,5.58103858192643e-06,0.000226949405691257,3.68288368609179
"NEIL1",1.34060929430748,3.28151857538946e-16,4.53794691351134,5.68126627910657e-06,0.00022996777851514,3.66644869015878
"MIR631",1.34060929430748,3.28151857538946e-16,4.53794691351134,5.68126627910657e-06,0.00022996777851514,3.66644869015878
"MCM10",-1.33973211549367,-2.54715230389261e-16,-4.53497767339968,5.76177814364655e-06,0.000232694277586675,3.65345604551981
"KLK5",-1.33941162647538,3.0017944148882e-16,-4.53389282178963,5.79146572478905e-06,0.00023336044921593,3.64871113006715
"PCNA",-1.33892004982028,1.40946282423116e-16,-4.53222884051318,5.83728620221702e-06,0.000234481705525192,3.64143542780823
"RTL8A",-1.33860731404177,2.94035629178069e-16,-4.53117023352988,5.86661706488155e-06,0.000234481705525192,3.63680809434112
"ATP6V0B",-1.33859418885708,-1.65376971376456e-16,-4.53112580493191,5.86785112876017e-06,0.000234481705525192,3.63661391376109
"FLAD1",-1.33854672500777,5.86228114662912e-16,-4.53096514035248,5.87231587696649e-06,0.000234481705525192,3.63591172560774
"KCNIP3",-1.3378529121875,-2.29166666155731e-09,-4.52861659200235,5.93795257093926e-06,0.000236568565376902,3.62565018440554
"TTC29",1.33733420159377,-1.30465661422422e-16,4.52686076265832,5.98748217080125e-06,0.000238005780043378,3.6179818932876
"ACVR2B",-1.337011193056,5.09936421792349e-16,-4.52576738250407,6.01852446654212e-06,0.000238703316790725,3.61320824070845
"UBAP2L",-1.33665444030775,1.37259995036665e-16,-4.52455977858869,6.05298868956657e-06,0.000239533147493832,3.60793723202559
"ZBTB16",1.33620299377598,-1.48607977775346e-16,4.52303163731429,6.09687161177464e-06,0.000239818447664306,3.60126914243619
"GANAB",-1.33599010055049,5.88071258356138e-16,-4.52231099621502,6.11767141085276e-06,0.000239818447664306,3.59812538528943
"SST",-1.33594693334505,1.50035510635786e-16,-4.52216487572525,6.12189714557204e-06,0.000239818447664306,3.59748800377452
"PRDM2",-1.33593326309353,1.13118426662654e-16,-4.52211860208241,6.123235939447e-06,0.000239818447664306,3.59728616119087
"MUC13",1.33588478737015,-2.11563983924338e-16,4.52195451232094,6.12798566025588e-06,0.000239818447664306,3.59657042910201
"KIF18A",-1.3356699496288,-4.91504984860095e-18,-4.52122728905807,6.14907823986548e-06,0.000240112682086049,3.59339871549695
"HOXA5",1.33527559196606,-4.34692791021855e-16,4.51989239294326,6.18797686561627e-06,0.000241099389374199,3.58757802338562
"ARMC4",1.33502436193567,-4.03684608888769e-17,4.51904198220403,6.21288034328539e-06,0.000241537671192034,3.58387078161676
"ISG20L2",-1.33463719392199,-3.09359019882531e-17,-4.51773142296789,6.2514467091886e-06,0.000242504036927275,3.57815895536194
"TMEM134",-1.33162837863444,-1.02829348045767e-15,-4.5075466181143,6.55906475536605e-06,0.000253880298594464,3.53382686166158
"CCDC68",1.33106104769013,-2.81350463759988e-16,4.5056262094474,6.61866821195886e-06,0.000255627995636114,3.52547897976114
"BBS4",1.33042179351467,3.016973245303e-16,4.50346234147725,6.68644870709144e-06,0.00025768320518462,3.51607705969718
"PTGER4",1.33024159690256,-7.92190387362742e-17,4.50285237803508,6.70567471071884e-06,0.000257862347734577,3.51342760885566
"SERPINB1",1.32906798442205,6.16332794985593e-16,4.49887971339952,6.8321927217493e-06,0.000261782935763496,3.49618063408664
"AGR2",1.32902171235035,-1.00903082185984e-16,4.49872308297347,6.83722744772092e-06,0.000261782935763496,3.49550094877187
"CFAP53",1.32886576922818,-1.97469355682027e-16,4.49819521731346,6.85422130050959e-06,0.000261866783120333,3.49321049185484
"ILVBL",-1.32858630541049,-1.01372903127395e-16,-4.49724923553166,6.88477691148983e-06,0.000262467281869275,3.48910646362848
"EGR3",1.32779470775597,-1.31405303305243e-16,4.49456968665166,6.97203630911597e-06,0.00026522225864936,3.47748624827952
"TSNAXIP1",1.32750126478691,-2.95372811857468e-16,4.49357638560459,7.00465106699569e-06,0.000265891143184736,3.47318042743935
"RCC1L",-1.32645733653519,8.23993651088983e-17,-4.49004270057951,7.12186565088375e-06,0.000269761630617736,3.45787011316453
"ARHGEF6",1.32628590025597,-6.65266453037106e-16,4.48946239076257,7.14129334366121e-06,0.000269919525547058,3.45535696983007
"BCAP31",-1.32584327652463,-2.70978262976544e-16,-4.48796411456532,7.19168748615877e-06,0.000271244690709302,3.44886989841863
"CLIP2",-1.32537528846195,7.63278329429795e-17,-4.48637998040062,7.24533926257789e-06,0.000272686821735618,3.44201344360812
"PFN1",-1.32369627856277,-1.08131096669221e-16,-4.48069655136424,7.44099437321612e-06,0.000279455943668408,3.41743432765215
"RABL6",-1.32321310870109,4.63171168085807e-16,-4.47906102698599,7.4982278467934e-06,0.000280416867206074,3.41036695126025
"TDRKH",-1.32299928792556,-2.25188791225239e-16,-4.47833724614064,7.52368994484857e-06,0.000280416867206074,3.40724019584644
"ATP6V1F",-1.32294648039477,-1.97686196116524e-16,-4.47815849326134,7.52999106353581e-06,0.000280416867206074,3.40646805574203
